,state,action_space,reward,Q,action
1134,"[2, 1]",d,0,0.004948020716120397,1
1135,"[2, 2]",r,0,0.046082327423182516,2
1136,"[3, 2]",r,1,0.28226946740172487,2
1137,"[0, 0]",r,0,1.3599496518636402e-06,2
1138,"[1, 0]",r,0,2.469782851269692e-05,2
1139,"[2, 0]",d,0,0.00040835626017316943,1
1140,"[2, 1]",d,0,0.005313281455767836,1
1141,"[2, 2]",r,0,0.048161929355566215,2
1142,"[3, 2]",r,1,0.28944677272770764,2
1143,"[0, 0]",r,0,1.5686306119592761e-06,2
1144,"[1, 0]",r,0,2.8126056569128476e-05,2
1145,"[2, 0]",d,0,0.0004520922306733483,1
1146,"[2, 1]",r,-1,-0.0490099501,2
1147,"[0, 0]",r,0,1.8060788149618398e-06,2
1148,"[1, 0]",r,0,3.1913626079497325e-05,2
1149,"[2, 0]",d,0,0.0004953908414685254,1
1150,"[2, 1]",d,0,0.005693606005410254,1
1151,"[2, 2]",r,0,0.05028533101655992,2
1152,"[3, 2]",r,1,0.29655230500043056,2
1153,"[0, 0]",r,0,2.0752406615276974e-06,2
1154,"[1, 0]",r,0,3.605300739191908e-05,2
1155,"[2, 0]",d,0,0.0005416793871025324,1
1156,"[2, 1]",d,0,0.006089237924505191,1
1157,"[2, 2]",r,0,0.0524514484513982,2
1158,"[3, 2]",r,1,0.30358678195042627,2
1159,"[0, 0]",r,0,2.378965321439692e-06,2
1160,"[1, 0]",r,0,4.0567591801922686e-05,2
1161,"[2, 0]",d,0,0.0005910657345520538,1
1162,"[2, 1]",d,0,0.006500408581322723,1
1163,"[2, 2]",r,0,0.05465921500443806,2
1164,"[3, 2]",r,1,0.310550914130922,2
1165,"[0, 0]",r,0,2.7202839944425995e-06,2
1166,"[1, 0]",r,0,4.5481507494871946e-05,2
1167,"[2, 0]",d,0,0.0006436587544384378,1
1168,"[2, 1]",d,0,0.006927337430549438,1
1169,"[2, 2]",r,0,0.05690758108157198,2
1170,"[3, 2]",r,1,0.31744540498961277,2
1171,"[0, 0]",r,0,3.102414721952021e-06,2
1172,"[1, 0]",r,0,5.0819621209869165e-05,2
1173,"[2, 0]",d,0,0.0006995682037689983,1
1174,"[2, 1]",d,0,0.007370232285978091,1
1175,"[2, 2]",r,0,0.05919551391566277,2
1176,"[3, 2]",r,1,0.32427095093971664,2
1177,"[0, 0]",r,0,3.5287671656213234e-06,2
1178,"[1, 0]",r,0,5.660753883169146e-05,2
1179,"[2, 0]",d,0,0.0007589046123051112,1
1180,"[2, 1]",d,0,0.007829289588359276,1
1181,"[2, 2]",r,0,0.06152199733496359,2
1182,"[3, 2]",r,1,0.33102824143031945,2
1183,"[0, 0]",r,0,4.002947343450333e-06,2
1184,"[1, 0]",l,0,3.6298646697587006e-08,3
1185,"[0, 0]",r,0,4.472385719501053e-06,2
1186,"[1, 0]",r,0,6.287160495412055e-05,2
